fi,2149857
xxu,863853
xx,746460
gw,639872
xxk,615959
sw,488776
ru,327588
fr,206142
ne,100790
dk,93586
sz,76329
no,74176
it,65690
au,33115
hu,32738
xxc,29552
be,29190
pl,28969
er,27552
sp,25250
ja,20718
lu,17484
ii,17288
gs,16563
enk,13436
yu,11983
at,11804
ch,9776
rm,9363
^^,8411
is,7626
xr,6563
nyu,6292
si,5828
gr,5299
mx,4904
lv,4803
po,4740
li,4632
bu,4458
ic,4392
ie,3972
nju,3699
ag,3586
bl,3537
dcu,3481
ko,3339
cc,3321
tu,3098
mau,3060
cau,3025
ph,2695
un,2408
sa,2406
ci,2246
xo,2184
ilu,2177
cu,2058
rb,1877
ua,1737
ir,1615
nz,1548
le,1503
ke,1377
ck,1368
bn,1290
ve,1282
inu,1270
bw,1248
xv,1240
th,1194
lh,1104
txu,1072
pe,1032
vc,951
pau,949
ng,903
aa,803
cl,786
pk,727
miu,727
mr,724
vau,705
mdu,662
xn,633
tz,611
sx,610
pg,578
kn,538
my,506
mnu,506
sq,492
se,481
io,451
mp,451
fa,447
vm,443
alu,421
wiu,407
iq,402
ce,399
ae,393
cr,382
iau,374
ncu,361
gau,338
nr,317
bcc,314
cy,306
mc,300
et,298
nl,292
ctu,290
za,289
vtu,282
stk,273
ohu,266
kz,265
uy,253
hiu,253
sy,251
ec,248
onc,244
lau,240
cm,237
sg,234
kyu,233
bg,232
cou,228
wau,214
ti,214
msu,210
|||,209
flu,205
mou,205
su,203
ao,201
ai,200
ts,198
dr,187
bo,187
gb,182
np,173
nhu,163
jm,161
rh,160
nq,151
ku,142
mm,141
mz,138
pn,136
jo,131
ug,126
mo,125
mv,121
quc,113
nmu,110
us,103
es,100
sl,99
gh,99
nbu,99
cw,95
kg,93
gt,93
gl,92
aj,92
utu,92
tnu,78
uz,76
azu,74
mw,65
mf,63
af,60
vp,57
py,51
aru,49
pr,49
fj,48
sj,43
ly,43
iv,43
bs,43
mg,41
pp,40
aku,38
ho,36
xna,36
qea,35
cf,34
kv,33
na,32
deu,32
qa,32
ea,31
br,30
xxr,29
ls,29
xb,28
scu,28
tk,27
sm,26
wvu,25
riu,23
bi,22
aq,22
cg,22
oku,22
tr,22
ht,21
ta,21
de,20
uik,19
cv,19
go,19
bd,19
hk,18
bb,18
so,17
|^,17
an,17
jp,17
ml,17
gy,16
gd,16
meu,16
xm,15
up,14
gv,14
bm,14
rw,13
ge,13
oru,13
f^,13
cb,13
ft,12
lo,12
mk,12
uk,12
gi,12
^fi,11
cz,11
re,10
nvu,10
abc,10
ee,10
bx,10
xk,10
lb,9
bf,9
fg,9
sf,8
sr,8
wj,8
^||,8
ws,8
ye,7
xj,7
uv,7
cs,7
idu,7
mj,7
ba,7
eg,7
err,6
fp,6
^xx,6
aca,6
||,6
tc,6
vi,6
esp,6
bh,6
afa,6
nw,6
nsc,5
xra,5
mu,5
nn,5
rur,5
cd,5
fin,5
en,5
dq,5
cj,4
gp,4
xa,4
cn,4
est,4
run,4
xe,4
cx,4
as,4
fm,4
xc,3
^gw,3
gm,3
wlk,3
xs,3
vra,3
wyu,3
tg,3
tl,3
^^x,3
eu,3
bt,3
nu,3
mq,3
em,3
ca,3
gu,3
xxx,2
dm,2
af|,2
^a,2
   ,2
gz,2
xh,2
il,2
^^f,2
ksu,2
ny,2
uc,2
in,2
fk,2
fs,2
gwg,2
^ne,2
12,1
lir,1
^si,1
fre,1
vb,1
rus,1
wb,1
^se,1
vn,1
201,1
^ru,1
tun,1
ot,1
swe,1
uzr,1
sd,1
pw,1
to,1
qw,1
xxd,1
xu,1
^0,1
u||,1
mtu,1
dn,1
g^,1
wea,1
mbc,1
tw,1
afj,1
^at,1
^^n,1
fra,1
aw,1
pt,1
^cc,1
tv,1
uuu,1
ur,1
sv,1
usa,1
